customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,totalcharges_tenure_ratio,charges_ratio
113,43,1,0,0,91.65,3954.1,0,91.96,43.14
114,37,1,0,0,76.5,2868.15,1,77.52,37.49
115,64,0,2,0,54.6,3423.5,0,53.49,62.7
116,3,1,0,0,89.85,248.4,0,82.8,2.76
117,36,0,2,2,31.05,1126.35,0,31.29,36.28
118,10,1,0,0,100.25,1064.65,1,106.47,10.62
119,41,1,2,1,20.65,835.15,0,20.37,40.44
120,27,1,0,3,85.2,2151.6,0,79.69,25.25
121,56,1,1,3,99.8,5515.45,0,98.49,55.27
122,6,1,0,1,20.7,112.75,0,18.79,5.45
123,3,1,0,0,74.4,229.55,1,76.52,3.09
124,7,1,0,1,50.7,350.35,0,50.05,6.91
125,4,1,0,1,20.85,62.9,0,15.73,3.02
126,33,1,2,0,88.95,3027.65,0,91.75,34.04
127,27,1,0,0,78.05,2135.5,1,79.09,27.36
128,72,1,2,2,23.55,1723.95,0,23.94,73.2
129,1,1,0,1,19.75,19.75,0,19.75,1
130,71,0,1,0,56.45,3985.35,0,56.13,70.6
131,13,1,0,0,85.95,1215.65,0,93.51,14.14
132,25,0,0,3,58.6,1502.65,1,60.11,25.64
133,67,1,2,2,50.55,3260.1,0,48.66,64.49
134,1,0,0,0,35.45,35.45,1,35.45,1
135,2,1,0,0,44.35,81.25,1,40.63,1.83
136,43,1,2,3,25.7,1188.2,0,27.63,46.23
137,23,1,0,2,75,1778.5,0,77.33,23.71
138,64,1,2,1,20.2,1277.75,0,19.96,63.25
139,57,1,2,1,19.6,1170.55,0,20.54,59.72
140,1,1,0,1,70.45,70.45,1,70.45,1
141,72,1,2,3,88.05,6425.65,0,89.25,72.98
142,8,1,0,0,71.15,563.65,1,70.46,7.92
143,61,1,2,2,101.05,5971.25,0,97.89,59.09
144,64,1,1,3,84.3,5289.05,0,82.64,62.74
145,71,1,2,2,23.95,1756.2,0,24.74,73.33
146,65,1,2,3,99.05,6416.7,0,98.72,64.78
147,3,1,1,1,19.6,61.35,0,20.45,3.13
148,1,1,0,0,45.65,45.65,1,45.65,1
149,30,1,1,3,64.5,1929.95,0,64.33,29.92
150,15,1,0,1,69.5,1071.4,0,71.43,15.42
151,8,1,0,0,68.55,564.35,0,70.54,8.23
152,7,1,0,1,95,655.5,1,93.64,6.9
153,70,1,1,3,108.15,7930.55,0,113.29,73.33
154,62,1,2,0,86.1,5215.25,0,84.12,60.57
155,6,1,0,1,19.7,113.5,0,18.92,5.76
156,14,1,0,2,80.9,1152.8,0,82.34,14.25
157,22,1,0,2,84.15,1821.95,0,82.82,21.65
158,22,1,1,1,20.15,419.9,0,19.09,20.84
159,16,1,2,1,64.25,1024,0,64,15.94
160,10,1,2,2,25.7,251.6,0,25.16,9.79
161,13,1,0,0,56,764.55,0,58.81,13.65
162,20,1,0,0,82.4,1592.35,1,79.62,19.32
163,2,1,0,0,69.7,135.2,0,67.6,1.94
164,53,1,2,2,73.9,3958.25,0,74.68,53.56
165,11,1,1,1,20.6,233.9,0,21.26,11.35
166,69,1,2,1,19.9,1363.45,0,19.76,68.52
167,4,1,0,2,70.9,273,1,68.25,3.85
168,72,1,2,2,89.05,6254.45,0,86.87,70.24
169,58,0,0,0,45.3,2651.2,1,45.71,58.53
170,16,1,0,0,20.4,321.4,0,20.09,15.75
171,43,1,1,2,84.25,3539.25,0,82.31,42.01
172,2,1,0,0,104.4,242.8,1,121.4,2.33
173,14,1,2,1,81.95,1181.75,0,84.41,14.42
174,53,1,1,2,94.85,5000.2,1,94.34,52.72
175,32,1,1,2,20.55,654.55,0,20.45,31.85
176,34,1,0,0,24.7,780.2,0,22.95,31.59
177,15,1,0,1,74.45,1145.7,1,76.38,15.39
178,7,1,0,2,76.45,503.6,1,71.94,6.59
179,15,1,0,2,105.35,1559.25,0,103.95,14.8
180,61,1,1,3,20.55,1252,0,20.52,60.92
181,1,0,0,2,29.95,29.95,1,29.95,1
182,1,1,0,1,45.3,45.3,0,45.3,1
183,8,1,0,2,84.5,662.65,1,82.83,7.84
184,33,1,1,3,74.75,2453.3,0,74.34,32.82
185,13,1,0,0,79.25,1111.65,1,85.51,14.03
186,1,0,0,0,24.8,24.8,1,24.8,1
187,20,1,0,1,51.8,1023.85,0,51.19,19.77
188,3,0,0,0,30.4,82.15,0,27.38,2.7
189,13,1,1,0,19.65,244.8,0,18.83,12.46
190,40,1,0,3,56.6,2379.1,0,59.48,42.03
191,43,1,1,3,71.9,3173.35,0,73.8,44.14
192,6,1,0,0,91,531,1,88.5,5.84
193,69,1,2,2,19.75,1375.4,0,19.93,69.64
194,72,1,2,3,109.7,8129.3,0,112.91,74.1
195,59,1,2,3,19.3,1192.7,0,20.22,61.8
196,20,1,0,0,96.55,1901.65,0,95.08,19.7
197,24,1,2,2,24.1,587.4,0,24.47,24.37
198,59,1,0,0,111.35,6519.75,0,110.5,58.55
199,72,1,2,2,112.25,8041.65,0,111.69,71.64
200,1,1,0,1,20.75,20.75,0,20.75,1
201,27,1,1,3,101.9,2681.15,0,99.3,26.31
202,14,1,0,3,80.05,1112.3,0,79.45,13.9
203,71,1,2,0,105.55,7405.5,0,104.3,70.16
204,13,1,0,3,78.3,1033.95,0,79.53,13.2
205,44,1,0,3,68.85,2958.95,0,67.25,42.98
206,33,1,1,2,79.95,2684.85,0,81.36,33.58
207,72,0,2,3,55.45,4179.2,0,58.04,75.37
208,1,1,0,0,79.9,79.9,1,79.9,1
209,19,1,0,0,106.6,1934.45,1,101.81,18.15
210,64,1,1,3,102.45,6654.1,0,103.97,64.95
211,2,1,0,3,46,84.5,1,42.25,1.84
212,1,0,0,0,25.25,25.25,0,25.25,1
213,61,1,2,1,19.75,1124.2,0,18.43,56.92
214,29,1,1,0,20,540.05,0,18.62,27
215,23,1,0,0,86.8,1975.85,0,85.91,22.76
216,57,0,0,2,58.75,3437.45,0,60.31,58.51
217,72,0,2,3,45.25,3139.8,0,43.61,69.39
218,66,0,2,2,56.6,3789.2,0,57.41,66.95
219,65,1,2,2,84.2,5324.5,0,81.92,63.24
220,8,1,0,2,80,624.6,0,78.08,7.81
221,4,1,0,0,70.15,268.35,1,67.09,3.83
222,71,1,2,2,24.75,1836.9,0,25.87,74.22
223,1,1,1,0,20.2,20.2,0,20.2,1
224,4,1,0,1,50.05,179.35,1,44.84,3.58
225,12,1,1,2,19.35,219.35,0,18.28,11.34
226,24,0,1,1,50.6,1288.75,0,53.7,25.47
227,31,1,1,1,81.15,2545.75,0,82.12,31.37
228,1,1,0,1,55.2,55.2,1,55.2,1
229,30,1,0,3,89.9,2723.15,0,90.77,30.29
230,47,1,2,3,85.3,4107.25,0,87.39,48.15
231,54,1,2,3,108,5760.65,0,106.68,53.34
232,50,1,0,3,93.5,4747.5,0,94.95,50.78
233,1,1,0,1,84.6,84.6,1,84.6,1
234,72,1,2,3,20.25,1566.9,0,21.76,77.38
235,29,1,0,0,25.15,702,0,24.21,27.91
236,2,1,0,1,54.4,114.1,1,57.05,2.1
237,10,0,2,1,29.6,299.05,0,29.91,10.1
238,18,1,0,0,73.15,1305.95,0,72.55,17.85
239,11,1,0,0,95,1120.3,1,101.85,11.79
240,16,1,2,1,19.75,284.35,0,17.77,14.4
241,72,1,2,2,86.6,6350.5,0,88.2,73.33
242,72,1,2,2,109.2,7878.3,0,109.42,72.15
243,41,1,1,3,74.7,3187.65,0,77.75,42.67
244,65,1,0,0,94.4,6126.15,0,94.25,64.9
245,13,1,0,0,54.8,731.3,0,56.25,13.34
246,4,1,0,0,75.35,273.4,0,68.35,3.63
247,41,1,1,1,65,2531.8,0,61.75,38.95
248,15,1,0,0,74.4,1074.3,1,71.62,14.44
249,1,1,0,1,48.55,48.55,1,48.55,1
250,42,1,1,0,99,4298.45,0,102.34,43.42
251,51,1,1,0,93.5,4619.55,0,90.58,49.41
252,2,1,0,0,70.4,147.15,1,73.58,2.09
253,1,0,0,0,40.2,40.2,1,40.2,1
254,32,1,1,3,83.7,2633.3,0,82.29,31.46
255,10,1,0,1,19.85,193.05,0,19.31,9.73
256,67,0,2,0,59.55,4103.9,0,61.25,68.92
257,61,1,2,3,115.1,7008.15,0,114.89,60.89
258,50,1,1,3,114.35,5791.1,0,115.82,50.64
259,2,1,0,3,44.6,80.55,1,40.28,1.81
260,29,0,0,0,45,1228.65,0,42.37,27.3
261,3,0,0,0,41.15,132.2,1,44.07,3.21
262,13,1,0,0,106.9,1364.3,1,104.95,12.76
263,57,1,0,0,89.85,4925.35,0,86.41,54.82
264,31,0,2,2,49.85,1520.1,0,49.04,30.49
265,45,1,1,1,113.3,5032.25,0,111.83,44.42
266,61,1,2,1,88.1,5526.75,0,90.6,62.73
267,50,1,2,2,24.9,1195.25,0,23.91,48
268,19,1,0,1,105,2007.25,0,105.64,19.12
269,59,1,2,1,19.35,1099.6,1,18.64,56.83
270,71,1,2,3,24.25,1732.95,0,24.41,71.46
271,16,1,0,0,94.45,1511.2,1,94.45,16
272,57,1,2,0,59.75,3450.15,0,60.53,57.74
273,1,0,0,2,24.8,24.8,1,24.8,1
274,20,1,0,0,107.05,2172.05,0,108.6,20.29
275,1,1,0,1,70.6,70.6,1,70.6,1
276,5,1,0,0,85.4,401.1,1,80.22,4.7
277,52,1,0,0,105.05,5624.85,1,108.17,53.54
278,21,1,0,2,64.95,1339.8,0,63.8,20.63
279,14,0,0,0,55,771.95,0,55.14,14.04
280,5,1,0,2,50.55,244.75,0,48.95,4.84
281,6,1,0,1,55.15,322.9,0,53.82,5.85
282,10,1,0,0,51.2,498.25,0,49.83,9.73
283,1,1,0,1,25.4,25.4,0,25.4,1
284,68,1,0,1,54.45,3687.75,0,54.23,67.73
285,18,1,0,1,95.15,1779.95,1,98.89,18.71
286,22,1,1,3,76,1783.6,0,81.07,23.47
287,20,1,0,0,44.35,927.15,0,46.36,20.91
288,1,1,0,0,70,70,1,70,1
289,8,1,0,0,74.5,606.55,1,75.82,8.14
290,10,1,0,3,44.85,435.4,1,43.54,9.71
291,24,1,0,0,76.1,1712.7,1,71.36,22.51
292,35,1,1,1,61.2,2021.2,0,57.75,33.03
293,23,1,1,1,86.8,1940.8,0,84.38,22.36
294,6,1,0,0,89.35,567.8,0,94.63,6.35
295,12,1,0,1,19.7,220.35,0,18.36,11.19
296,1,1,0,1,20.25,20.25,0,20.25,1
297,71,1,2,0,76.05,5436.45,0,76.57,71.49
298,35,1,0,0,100.8,3437.5,0,98.21,34.1
299,40,1,0,0,74.55,3015.75,0,75.39,40.45
300,1,1,0,1,73.6,73.6,1,73.6,1
301,23,1,1,2,64.9,1509.8,0,65.64,23.26
302,4,1,0,0,95.45,396.1,1,99.03,4.15
303,4,1,0,0,90.4,356.65,0,89.16,3.95
304,68,0,2,3,60.3,4109,0,60.43,68.14
305,38,1,0,1,81.85,3141.7,0,82.68,38.38
306,52,1,2,1,24.8,1229.1,0,23.64,49.56
307,32,1,0,0,74.9,2303.35,1,71.98,30.75
308,29,1,2,1,75.55,2054.4,0,70.84,27.19
309,38,1,0,0,101.15,3741.85,0,98.47,36.99
310,48,1,1,3,78.75,3682.45,0,76.72,46.76
311,1,1,0,2,19.25,19.25,0,19.25,1
312,22,1,0,0,89.05,1886.25,0,85.74,21.18
313,43,1,2,3,115.05,4895.1,0,113.84,42.55
314,5,1,0,0,69.35,341.6,0,68.32,4.93
315,5,1,0,0,80.6,415.55,1,83.11,5.16
316,51,1,1,3,110.05,5686.4,0,111.5,51.67
317,71,1,2,3,19.9,1355.1,0,19.09,68.1
318,38,1,1,3,80.3,3058.65,1,80.49,38.09
319,24,1,0,0,93.15,2231.05,1,92.96,23.95
320,35,1,0,3,91.5,3236.35,0,92.47,35.37
321,54,1,1,2,82.45,4350.1,1,80.56,52.76
322,72,0,2,0,60,4264,0,59.22,71.07
323,1,1,0,0,44.8,44.8,0,44.8,1
324,9,1,1,1,48.6,422.3,0,46.92,8.69
325,69,0,2,2,60.05,4176.7,0,60.53,69.55
326,52,1,0,3,102.7,5138.1,0,98.81,50.03
327,11,1,0,0,82.9,880.05,0,80,10.62
328,2,1,0,0,70.35,139.05,1,69.53,1.98
329,28,0,0,0,35.9,973.65,0,34.77,27.12
330,17,1,0,3,82.65,1470.05,0,86.47,17.79
331,35,1,2,1,19.85,739.35,0,21.12,37.25
332,8,1,1,1,19.2,161.95,0,20.24,8.43
333,46,1,1,3,94.9,4422.95,0,96.15,46.61
334,7,1,0,0,73.85,511.25,1,73.04,6.92
335,2,1,0,1,80.6,155.8,1,77.9,1.93
336,68,1,1,2,75.8,5293.95,1,77.85,69.84
337,43,1,2,0,104.6,4759.85,1,110.69,45.51
338,68,1,2,0,88.15,6148.45,0,90.42,69.75
339,36,1,0,3,94.8,3565.65,0,99.05,37.61
340,63,1,0,0,103.4,6603,1,104.81,63.86
341,32,1,0,2,54.65,1830.1,0,57.19,33.49
342,71,1,2,3,85.75,6223.8,0,87.66,72.58
343,66,1,0,2,67.45,4508.65,0,68.31,66.84
344,63,1,1,1,20.5,1328.15,0,21.08,64.79
345,41,1,1,3,20.25,865,0,21.1,42.72
346,1,1,0,0,72.1,72.1,0,72.1,1
347,2,1,0,0,90.4,168.2,1,84.1,1.86
348,70,1,2,2,19.45,1303.5,0,18.62,67.02
349,23,0,0,0,44.95,996.85,0,43.34,22.18
350,64,1,1,2,97,6430.9,0,100.48,66.3
351,37,1,2,3,62.8,2278.75,0,61.59,36.29
352,17,1,1,1,44.6,681.4,0,40.08,15.28
353,7,1,0,0,89.15,574.35,0,82.05,6.44
354,4,1,0,2,84.8,371.9,1,92.98,4.39
355,21,0,0,0,41.9,840.1,1,40,20.05
356,10,1,0,2,80.25,846,1,84.6,10.54
357,16,1,0,0,54.1,889,0,55.56,16.43
358,64,1,2,0,105.25,6823.4,0,106.62,64.83
359,27,0,0,3,30.75,805.1,1,29.82,26.18
360,42,1,1,0,97.1,4016.75,0,95.64,41.37
361,5,1,0,1,20.2,83.75,0,16.75,4.15
362,41,1,2,2,98.8,3959.15,0,96.56,40.07
363,58,1,1,3,50.3,2878.55,0,49.63,57.23
364,47,1,2,1,20.55,945.7,0,20.12,46.02
365,18,1,0,2,75.9,1373.05,0,76.28,18.09
366,5,1,0,2,96.5,492.55,1,98.51,5.1
367,23,1,0,2,59.95,1406,0,61.13,23.45
368,1,1,0,1,19.15,19.15,0,19.15,1
369,71,1,1,3,98.65,6962.85,0,98.07,70.58
370,72,1,2,3,112.6,8126.65,0,112.87,72.17
371,33,1,1,1,20.6,690.25,0,20.92,33.51
372,2,1,0,0,85.65,181.5,1,90.75,2.12
373,24,0,2,1,35.75,830.8,0,34.62,23.24
374,56,1,1,3,99.75,5608.4,0,100.15,56.22
375,37,1,0,3,96.1,3646.8,0,98.56,37.95
376,43,1,1,3,85.1,3662.25,0,85.17,43.03
377,1,0,0,1,25.35,25.35,0,25.35,1
378,25,1,0,2,104.95,2566.5,1,102.66,24.45
379,61,1,2,0,89.65,5308.7,0,87.03,59.22
380,17,1,1,0,86.75,1410.25,0,82.96,16.26
381,41,1,1,2,86.2,3339.05,0,81.44,38.74
382,1,1,0,1,50.65,50.65,1,50.65,1
383,72,0,2,2,64.8,4732.35,0,65.73,73.03
384,1,1,0,3,90.85,90.85,1,90.85,1
385,48,1,2,2,108.1,5067.45,0,105.57,46.88
386,11,1,0,1,19.95,214.75,1,19.52,10.76
387,55,1,0,0,85.45,4874.7,1,88.63,57.05
388,42,0,1,0,54.75,2348.45,0,55.92,42.89
389,44,1,0,1,90.4,4063,0,92.34,44.94
390,1,1,0,0,44,44,0,44,1
391,27,1,0,2,95.6,2595.25,0,96.12,27.15
392,27,1,0,2,84.8,2309.55,0,85.54,27.24
393,2,1,0,0,44.3,89.3,0,44.65,2.02
394,19,1,0,1,19.9,367.55,0,19.34,18.47
395,42,1,0,0,95.05,3944.5,0,93.92,41.5
396,66,1,2,3,90.05,5965.95,0,90.39,66.25
397,33,1,0,2,109.9,3694.7,0,111.96,33.62
398,34,1,0,3,73.95,2524.45,1,74.25,34.14
399,33,0,0,0,54.6,1803.7,0,54.66,33.03
400,23,1,1,1,20.05,415.1,0,18.05,20.7
401,32,1,1,2,19.75,624.15,0,19.5,31.6
402,11,1,1,3,20.05,237.7,0,21.61,11.86
403,69,1,0,3,99.45,7007.6,1,101.56,70.46
404,68,1,1,2,55.9,3848.8,0,56.6,68.85
405,20,1,2,1,19.7,419.4,0,20.97,21.29
406,72,1,2,3,19.8,1468.75,0,20.4,74.18
407,60,1,1,2,95.4,5812,0,96.87,60.92
408,32,1,0,1,93.95,2861.45,0,89.42,30.46
409,1,1,0,1,19.9,19.9,1,19.9,1
410,1,1,0,1,19.6,19.6,1,19.6,1
411,3,1,0,0,81.35,233.7,1,77.9,2.87
412,46,1,1,2,24.45,1066.15,0,23.18,43.61
413,29,1,0,0,74.95,2149.05,0,74.11,28.67
414,51,1,0,0,87.35,4473,0,87.71,51.21
415,48,1,0,2,70.65,3545.05,0,73.86,50.18
416,16,1,0,2,73.25,1195.75,0,74.73,16.32
417,70,1,2,2,98.7,6858.9,0,97.98,69.49
418,40,1,2,1,24.8,1024.7,0,25.62,41.32
419,22,1,0,0,83.3,1845.9,1,83.9,22.16
420,1,1,0,2,75.3,75.3,1,75.3,1
421,5,1,0,1,24.3,132.25,0,26.45,5.44
422,7,1,0,2,69.85,515.45,0,73.64,7.38
423,29,1,1,3,100.55,2830.45,0,97.6,28.15
424,44,1,1,1,25.7,1110.5,0,25.24,43.21
425,10,0,0,2,40.7,449.3,0,44.93,11.04
426,55,1,0,2,51.65,2838.55,0,51.61,54.96
427,52,1,1,2,105.1,5376.4,0,103.39,51.16
428,10,1,0,0,85.95,858.6,0,85.86,9.99
429,18,1,0,2,75.6,1395.05,0,77.5,18.45
430,68,1,1,2,58.25,3975.7,0,58.47,68.25
431,61,1,0,1,19.4,1182.55,1,19.39,60.96
432,72,0,2,3,65.2,4784.45,0,66.45,73.38
433,2,1,0,0,53.45,119.5,0,59.75,2.24
434,12,1,0,2,45.4,518.9,1,43.24,11.43
435,41,1,2,0,19.75,899.45,0,21.94,45.54
436,26,0,0,3,44.45,1183.8,0,45.53,26.63
437,36,1,1,2,20.85,720.05,0,20,34.53
438,72,1,2,3,114.05,8468.2,0,117.61,74.25
439,35,1,0,2,89.85,3161.2,0,90.32,35.18
440,1,1,0,1,55.05,55.05,0,55.05,1
441,16,1,0,0,112.95,1882.55,0,117.66,16.67
442,49,1,0,3,101.55,5070.4,0,103.48,49.93
443,54,1,1,1,114.65,6049.5,0,112.03,52.76
444,18,1,0,0,64.8,1166.7,0,64.82,18
445,36,1,0,0,80.4,2937.65,0,81.6,36.54
446,60,1,0,0,105.9,6396.45,1,106.61,60.4
447,1,1,0,1,69.55,69.55,1,69.55,1
448,52,1,2,2,25.05,1270.25,0,24.43,50.71
449,8,1,0,0,94.75,759.55,0,94.94,8.02
450,72,1,2,2,105.5,7611.55,0,105.72,72.15
451,64,1,1,1,24.7,1642.75,0,25.67,66.51
452,22,1,0,1,69.75,1545.4,0,70.25,22.16
453,60,0,0,2,60.2,3582.4,0,59.71,59.51
454,28,1,0,0,81.05,2227.1,1,79.54,27.48
455,61,1,2,1,24.4,1417.9,0,23.24,58.11
456,24,1,0,0,104.15,2494.65,0,103.94,23.95
457,28,1,1,2,92.9,2768.35,0,98.87,29.8
458,30,1,2,2,80.8,2369.3,0,78.98,29.32
459,2,1,0,1,20,38,0,19,1.9
460,1,1,0,0,75.1,75.1,0,75.1,1
461,6,1,0,1,19.65,100.9,0,16.82,5.13
462,24,1,0,2,69.45,1614.05,0,67.25,23.24
463,4,1,0,0,101.15,385.9,1,96.48,3.82
464,7,1,0,0,99.8,673.25,1,96.18,6.75
465,72,1,2,2,116.05,8404.9,0,116.73,72.42
466,70,0,2,1,40.05,2799.75,0,40,69.91
467,64,1,2,0,102.1,6538.45,0,102.16,64.04
468,72,1,1,0,89.7,6588.95,0,91.51,73.46
469,44,1,2,1,19.9,868.1,0,19.73,43.62
470,13,1,0,0,55.95,734.35,1,56.49,13.13
471,17,1,1,1,20.65,330.6,0,19.45,16.01
472,1,1,0,0,55,55,1,55,1
473,9,1,0,1,70.05,564.4,0,62.71,8.06
474,24,1,0,1,53.6,1315.35,0,54.81,24.54
475,1,1,0,0,74.7,74.7,1,74.7,1
476,24,1,0,0,80.25,1861.5,1,77.56,23.2
477,35,1,0,0,76.05,2747.2,0,78.49,36.12
478,7,1,0,0,75.7,554.05,0,79.15,7.32
479,5,1,0,0,96.1,453.4,1,90.68,4.72
480,15,1,0,2,69,994.8,1,66.32,14.42
481,11,1,2,1,19.65,225.75,0,20.52,11.49
482,48,0,0,2,45.3,2145,1,44.69,47.35
483,20,1,0,0,81.45,1671.6,0,83.58,20.52
484,72,1,1,2,108.5,8003.8,0,111.16,73.77
485,8,1,0,0,83.55,680.05,1,85.01,8.14
486,72,1,2,3,84.5,6130.85,0,85.15,72.55
487,15,1,0,0,100.15,1415,0,94.33,14.13
488,72,1,2,2,88.6,6201.95,0,86.14,70
489,1,1,0,0,74.35,74.35,1,74.35,1
490,63,1,2,2,104.8,6597.25,0,104.72,62.95
491,2,1,0,0,59,114.15,0,57.08,1.93
492,2,1,0,0,74.4,139.4,1,69.7,1.87
